"CO_ENTIDADE","servicoColeta","queima","enterra","destinoFinalPublico","descartaEmOutraArea","reutiliza"
"26174588","0","1","0","0","0","0"
"26174634","","","","","",""
"26174642","","","","","",""
"26174650","0","1","0","0","0","0"
"26174669","","","","","",""
"26174677","0","1","0","0","0","1"
"26174693","0","1","0","0","0","0"
"26176246","0","1","0","0","0","1"
"26177455","","","","","",""
"26177463","","","","","",""
"26177471","0","1","0","0","0","0"
"26178885","","","","","",""
"26179350","0","1","0","0","0","0"
"26180065","0","1","0","0","0","0"
"26180715","0","1","0","0","0","1"
"26181169","0","1","0","0","0","1"
"26181452","0","1","0","0","0","0"
"26182076","0","1","0","0","0","1"
"26182726","","","","","",""
"26182947","0","1","0","0","0","0"
"26184826","0","1","0","0","0","1"
"26189267","0","1","0","0","0","0"
"26189550","","","","","",""
"26191750","0","1","0","0","0","0"
"26205807","","","","","",""
"26206803","0","1","0","0","0","1"
"26234610","0","1","0","0","0","0"
"26260603","","","","","",""
"26301628","0","1","0","0","0","9"
"26303620","0","1","0","0","0","0"
"26413817","0","1","0","0","0","1"
"26443740","0","1","0","0","0","0"
"26471710","","","","","",""
"26510715","0","1","0","0","0","9"
"26522713","0","1","0","0","0","0"
"26525968","","","","","",""
"26529823","","","","","",""
"26108437","","","","","",""
"26108461","0","1","0","0","0","1"
"26108470","","","","","",""
"26108496","0","1","0","0","0","0"
"26108500","0","1","0","0","0","1"
"26108518","","","","","",""
"26108526","0","1","0","0","0","0"
"26108550","0","1","0","0","0","0"
"26108569","","","","","",""
"26108577","0","1","0","0","0","1"
"26108585","0","1","0","0","0","1"
"26108593","0","1","0","0","0","1"
"26108607","","","","","",""
"26108623","","","","","",""
"26108631","0","1","0","0","0","0"
"26108682","0","1","0","0","0","1"
"26108712","","","","","",""
"26108739","0","1","0","0","0","0"
"26108763","0","1","0","0","0","1"
"26108771","","","","","",""
"26108801","0","1","0","0","0","1"
"26108844","0","1","0","0","0","0"
"26108860","","","","","",""
"26108895","0","1","0","0","0","0"
"26108909","0","1","0","0","0","0"
"26108917","0","1","0","0","0","0"
"26108925","0","1","0","0","0","0"
"26108941","","","","","",""
"26108950","0","1","0","0","0","0"
"26108968","0","1","0","0","0","0"
"26108976","0","1","0","0","0","0"
"26108984","0","1","0","0","0","0"
"26108992","0","1","0","0","0","0"
"26109000","0","1","0","0","0","0"
"26109026","0","1","0","0","0","0"
"26109042","0","1","1","0","0","0"
"26109069","0","1","0","0","0","1"
"26109077","0","1","0","0","0","1"
"26109107","0","1","0","0","0","0"
"26109115","0","1","0","0","0","0"
"26109140","0","1","0","0","0","0"
"26109166","0","1","0","0","0","0"
"26109190","0","1","0","0","0","1"
"26109212","0","1","0","0","0","0"
"26109220","0","1","0","0","0","0"
"26109239","0","1","0","0","0","0"
"26109247","0","1","0","0","0","9"
"26109255","0","1","0","0","0","0"
"26109271","0","1","0","0","0","0"
"26109280","0","1","0","0","0","1"
"26109298","0","1","0","0","0","0"
"26109310","0","1","0","0","0","0"
"26109328","0","1","0","0","0","0"
"26109344","0","1","0","0","0","0"
"26109360","0","1","0","0","0","0"
"26109379","","","","","",""
"26109387","","","","","",""
"26109417","0","1","0","0","0","0"
"26109425","0","1","0","0","0","0"
"26109441","0","1","0","0","0","0"
"26109468","0","1","0","0","0","0"
"26109476","0","1","0","0","0","1"
"26109484","0","1","0","0","0","0"
"26109506","0","1","0","0","0","1"
"26109530","0","1","0","0","0","0"
"26109549","0","1","0","0","0","0"
"26109581","0","1","0","0","0","0"
"26109590","","","","","",""
"26109603","0","1","0","0","0","1"
"26109620","0","1","0","0","0","0"
"26109662","","","","","",""
"26109689","0","1","0","0","0","0"
"26109743","0","1","0","0","0","0"
"26109760","","","","","",""
"26109786","0","1","0","0","0","1"
"26109794","0","1","0","0","0","0"
"26109867","0","1","0","0","0","0"
"26109875","0","1","0","0","0","0"
"26109891","0","1","0","0","0","0"
"26109905","0","1","0","0","0","0"
"26109921","","","","","",""
"26109930","","","","","",""
"26109956","0","1","0","0","0","0"
"26109964","0","1","0","0","0","1"
"26109972","0","1","0","0","0","0"
"26109980","0","1","0","0","0","0"
"26110016","0","1","0","0","0","0"
"26110032","","","","","",""
"26110059","","","","","",""
"26110067","","","","","",""
"26110083","","","","","",""
"26110091","0","1","1","0","0","0"
"26110105","0","1","0","0","0","1"
"26110113","","","","","",""
"26110130","0","1","0","0","0","0"
"26110148","0","1","0","0","0","0"
"26110156","0","1","0","0","0","0"
"26110180","","","","","",""
"26110199","0","1","0","0","0","0"
"26110202","0","1","0","0","0","0"
"26110210","0","1","0","0","0","1"
"26110229","0","1","0","0","0","0"
"26110237","0","1","0","0","0","0"
"26110245","0","1","0","0","0","0"
"26110261","0","1","0","0","0","1"
"26110270","0","1","0","0","0","0"
"26110300","","","","","",""
"26110326","0","1","0","0","0","0"
"26110334","0","1","0","0","0","0"
"26110342","0","1","0","0","0","0"
"26110369","0","1","0","0","0","0"
"26110385","1","1","0","0","0","0"
"26110407","","","","","",""
"26110423","0","1","0","0","0","1"
"26110431","","","","","",""
"26110512","","","","","",""
"26110547","0","1","0","0","0","0"
"26110555","","","","","",""
"26110580","0","1","0","0","0","0"
"26110598","0","1","0","0","0","1"
"26110601","","","","","",""
"26110610","0","1","0","0","0","1"
"26110652","0","1","0","0","0","0"
"26110660","0","1","0","0","0","0"
"26110687","","","","","",""
"26110709","","","","","",""
"26110725","0","1","0","0","0","0"
"26110750","0","1","0","0","0","1"
"26110776","","","","","",""
"26110792","","","","","",""
"26110806","0","1","0","0","0","1"
"26110814","0","1","0","0","0","0"
"26110822","0","1","0","0","0","1"
"26110830","","","","","",""
"26110849","0","1","0","0","0","1"
"26110857","0","1","0","0","0","0"
"26110873","0","1","0","0","0","0"
"26110881","0","1","0","0","0","1"
"26110911","0","1","0","0","0","0"
"26110920","0","1","0","0","0","0"
"26110938","","","","","",""
"26110954","","","","","",""
"26110962","0","1","0","0","0","0"
"26110970","0","1","0","0","0","1"
"26110997","0","1","0","0","0","1"
"26111012","0","1","0","0","0","0"
"26111020","0","1","0","0","0","1"
"26111039","0","1","0","0","0","0"
"26111063","0","1","0","0","0","0"
"26111071","0","1","0","0","0","1"
"26111080","0","1","0","0","0","1"
"26111101","0","1","0","0","0","0"
"26111110","0","1","0","0","0","0"
"26111128","","","","","",""
"26111152","0","1","0","0","0","0"
"26111179","0","1","0","0","0","0"
"26111195","0","1","0","0","0","0"
"26111209","0","1","0","0","0","1"
"26111225","0","1","0","0","0","0"
"26111233","0","1","0","0","0","1"
"26111241","0","1","0","0","0","0"
"26111268","0","1","0","0","0","1"
"26111284","0","1","0","0","0","0"
"26111292","0","1","0","0","0","0"
"26111306","0","1","0","0","0","1"
"26111314","0","1","0","0","0","1"
"26111322","0","1","0","0","0","1"
"26111330","0","1","0","0","0","1"
"26111349","0","1","0","0","0","0"
"26111357","0","1","0","0","0","1"
"26111373","0","1","0","0","0","1"
"26111381","0","1","0","0","0","1"
"26111403","0","1","0","0","0","1"
"26111411","0","1","0","0","0","1"
"26111420","0","1","0","0","0","0"
"26111446","0","1","0","0","0","0"
"26111454","","","","","",""
"26111470","","","","","",""
"26111497","0","1","0","0","0","1"
"26111519","","","","","",""
"26111527","0","1","0","0","0","1"
