"CO_ENTIDADE","NO_ENTIDADE","NO_MUNICIPIO","TP_DEPENDENCIA","TP_CATEGORIA_ESCOLA_PRIVADA","NO_BAIRRO","QT_FUNCIONARIOS","QT_PROF_MONITORES"
"26106442","ACADEMIA O MUNDO MAGICO","Abreu e Lima","4","","CAETES III","",""
"26106450","EM - CENTRO COMU E EDUC ISAAC MARTINS RODRIGUES","Abreu e Lima","3","","PLANALTO","1","0"
"26106477","EM - CENTRO COM EDUCACIONAL WILIBALDO DE FRANCA SEIXAS","Abreu e Lima","3","","CAETES II","1","0"
"26106582","ESCOLA GENERAL ABREU E LIMA","Abreu e Lima","2","","CENTRO","1","0"
"26106590","ESCOLA JESUS MENINO","Abreu e Lima","4","","CAETES I","",""
"26106612","ESCOLA MARECHAL COSTA E SILVA","Abreu e Lima","2","","JARDIM CAETES","1","1"
"26106620","COLEGIO MICKEY","Abreu e Lima","4","","CENTRO","",""
"26106647","EM - ESCOLA MUNICIPAL ENGENHO NOVO","Abreu e Lima","3","","ENGENHO NOVO","","0"
"26106655","EM - ESCOLA MUNICIPAL PEDRO SALVIANO FILHO","Abreu e Lima","3","","DESTERRO","1","0"
"26106671","EM - ESC MUL SEBASTIAO GOMES DE MELO","Abreu e Lima","3","","DESTERRO","1","1"
"26106680","EM - ESCOLA MUNICIPAL JORGE GONCALVES FERREIRA","Abreu e Lima","3","","INHAMA","0","0"
"26106698","ESCOLA ORFANATO ESTRELA DE BETHEL","Abreu e Lima","2","","LOTEAMENTO PLANALTO","1","0"
"26106701","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PASTOR AMARO DE SENA","Abreu e Lima","2","","CAETES II","1","0"
"26106728","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO POLIVALENTE DE ABREU E LIMA","Abreu e Lima","2","","CENTRO","0","0"
"26106787","ESCOLA SANTA MARIA","Abreu e Lima","4","1","TIMBO","1","0"
"26106809","EM - ESCOLA MUNICIPAL SEVERINA ESTELITA DOS SANTOS","Abreu e Lima","3","","ESPACO 21","1","0"
"26106817","ESCOLA SANTA MARTA","Abreu e Lima","4","","CAETES I","",""
"26106833","EM - ESCOLA JOSE SEVERINO DA SILVA","Abreu e Lima","3","","PITANGA 1","1","0"
"26106841","EM - ESCOLA JOAQUINA MENDES DA SILVA","Abreu e Lima","3","","CHA DE CRUZ","","0"
"26106850","EM - ESC MUL SEBASTIAO CANDIDO DO NASCIMENTO","Abreu e Lima","3","","AREA RURAL","",""
"26106868","EM - ESCOLA LEANDRO HENRIQUE BEZERRA","Abreu e Lima","3","","PITANGA","1","0"
"26106922","ESCOLA JOANA ANGELICA","Abreu e Lima","4","1","CENTRO","1","1"
"26106957","ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ RODOLFO DE ARAUJO JUNIOR","Abreu e Lima","2","","CAETES I","1","0"
"26106981","EM - ESCOLA MUNICIPAL ANTONIO CORREIA DE MELO","Abreu e Lima","3","","CAETES III","1","0"
"26107007","EM - ESCOLA MUL JERONIMO GADELHA A NETO","Abreu e Lima","3","","CAETES I","1","0"
"26107023","EM - ESCOLA MUL AUTA DE ARAUJO J CARVALHO","Abreu e Lima","3","","FOSFATO","1","0"
"26107031","EM - ESCOLA MUNICIPAL MANOEL GONCALVES DA SILVA","Abreu e Lima","3","","BOA ESPERANCA","1","0"
"26107040","ESCOLA MUNDO INFANTIL","Abreu e Lima","4","","CAETES III","",""
"26107074","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA AZINETE RAMOS CARNEIRO","Abreu e Lima","2","","TIMBO","1","0"
"26107082","ESCOLA PROFESSORA ISAURA DE FRANCA","Abreu e Lima","2","","CAETES I","0","0"
"26107104","ESCOLA DE ABREU E LIMA","Abreu e Lima","2","","ALTO SAO MIGUEL","1","0"
"26107139","EM - ESCOLA JOSE ANTONIO DA SILVA","Abreu e Lima","3","","CENTRO","1","0"
"26107147","EM - ESCOLAS REUNIDAS SANTA ROSA","Abreu e Lima","3","","ALTO SAO MIGUEL","1","0"
"26107155","GINASIO SAO JOSE","Abreu e Lima","4","1","CENTRO","1","1"
"26107163","EMEF - GRUPO ESCOLA DOM CARLOS COELHO","Abreu e Lima","3","","CENTRO","1","0"
"26107180","COLEGIO MARIA TEREZA","Abreu e Lima","4","","CENTRO","",""
"26113767","ESCOLA PARTICULAR MENINO JESUS","Abreu e Lima","4","","CAETES II","",""
"26136442","EM - ESCOLA MUNICIPAL EDUARDO BATISTA RIBEIRO","Abreu e Lima","3","","CHA DE CRUZ","1","0"
"26136639","COLEGIO UNIVERSO EDITE RIBEIRO","Abreu e Lima","4","1","TIMBO","1","0"
"26137149","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO STELA MARIA DOS SANTOS PINTO BARROS","Abreu e Lima","2","","TIMBO","1","0"
"26139960","ESCOLA SAGRADO CORACAO DE MARIA","Abreu e Lima","4","","CAETES I","",""
"26142112","ESCOLA ALCANTARA NOBRE","Abreu e Lima","4","","CAETES II","",""
"26142120","ESCOLA ANA MACEDO","Abreu e Lima","4","","CAETES I","",""
"26142686","EM - ESCOLA MUNICIPAL IVAN MARTINS DA SILVA","Abreu e Lima","3","","PITANGA","1","0"
"26144972","EM - ESCOLA SEVERINO RODRIGUES DA SILVA","Abreu e Lima","3","","PITANGA","1","0"
"26146240","EM - CENTRO COMT PROF VANDA M DE SANTANA","Abreu e Lima","3","","FOSFATO","0","0"
"26148285","EM - ESCOLA MUNICIPAL JOSE JOAQUIM BEZERRA","Abreu e Lima","3","","CAIANA I","","0"
"26148293","EM - ESCOLA MARIA DO CARMO DE SANTANA","Abreu e Lima","3","","CAIANA 2","1","0"
"26150727","ESCOLA SAO MATEUS","Abreu e Lima","4","","CAETES I","",""
"26157969","EM - CENTRO EDUCACIONAL E COMUNITARIO ANTAO SOARES VIANA","Abreu e Lima","3","","JARDIM CAETES","1","0"
"26158140","EM - CENT EDUC COMUN FRANCISCO LOPES BEZERRA","Abreu e Lima","3","","TIMBO","0","0"
"26160528","ESCOLA PAULO FREIRE","Abreu e Lima","4","1","CENTRO","1","0"
"26161559","ESCOLA PROFISIONALIZANTE DE ENFERMAGEM SAO CAMILO","Abreu e Lima","4","","CAETES I","",""
"26168561","EDUCANDARIO SAO LUCAS","Abreu e Lima","4","1","PLANALTO","1","0"
"26168731","EM - CENTRO EDUC COMUNITARIO PROFA MARIA VIEIRA MULITERNO","Abreu e Lima","3","","ALTO DA BELA VISTA","1","0"
"26170817","ESCOLA ALEGRIA DO SABER","Abreu e Lima","4","1","CENTRO","1","0"
"26170868","C COM EDUC E CULTURAL MAMAE MARGARIDA","Abreu e Lima","4","1","CAETES III","0","0"
"26170876","EM - ESCOLA MUNICIPAL EBERSON SANTOS DE MEIRELES","Abreu e Lima","3","","CAETES I","1","0"
"26172003","ESCOLA NOVA GERACAO","Abreu e Lima","4","","ALTO SAO MIGUEL","",""
"26174170","ACADEMIA EDUCACAO","Abreu e Lima","4","1","CAETES I","1","0"
"26174189","COLEGIO E CURSO MASTER LTDA","Abreu e Lima","4","1","TIMBO","1","0"
"26174227","ESCOLINHA ELIZABETH MONTEIRO","Abreu e Lima","4","1","CAETES I","1","0"
"26174243","CENTRO EDUCACIONAL CARMEM LUZIA","Abreu e Lima","4","","FOSFATO","",""
"26174251","ESCOLA MENINO JESUS","Abreu e Lima","4","","CENTRO","",""
"26174359","EM - ESCOLA INTEGRAL DA VILA MILITAR","Abreu e Lima","3","","CAETES I","1","1"
"26175290","ESCOLA ANITA SARAIVA LTDA","Abreu e Lima","4","","CAETES I","",""
"26176904","COLEGIO E CURSO VEJA","Abreu e Lima","4","","CENTRO","",""
"26178435","ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO","Abreu e Lima","2","","CENTRO","1","1"
"26178443","ESCOLA PROGRESSO INFANTIL","Abreu e Lima","4","1","CAETES I","1","0"
"26178451","ACADEMIA PRIMEIROS PASSOS","Abreu e Lima","4","1","CAETES III","1","1"
"26178460","EDUCANDARIO ARAUJO TAVARES","Abreu e Lima","4","1","CAETES I","1","0"
"26178486","ESCOLA ATIVA","Abreu e Lima","4","1","CAETS II","1","0"
"26179261","EM - CECOM CARLOS PATRICIO DE LIMA","Abreu e Lima","3","","MATINHA","1","1"
"26179270","EM - CECOM ROSA PEREIRA DA CRUZ","Abreu e Lima","3","","DESTERRO","1","0"
"26181860","COLEGIO JULIA BILLIART","Abreu e Lima","4","","CAETES I","",""
"26182238","CENTRO DE PROFISSIONALIZACAO E EDUCACAO DE PERNAMBUCO CEPEP","Abreu e Lima","4","","FOSFATO","",""
"26182890","CENTRO DE ENSINO TECNICO GRAU T","Abreu e Lima","4","1","ALTO DA BELA VISTA","1","0"
"26184150","ESCOLA MUNICIPAL PROFESSORA VALDECI DAMAZIO","Abreu e Lima","3","","CAETES I","1","0"
"26186713","ESCOLA ESTADUAL IRMA DULCE","Abreu e Lima","2","","CAETES II","0","0"
"26186780","CENTRO DE EDUCACAO INFANTIL BOM PASTOR","Abreu e Lima","4","4","FOSFATO","1","0"
"26187442","IFPE - CAMPUS ABREU E LIMA","Abreu e Lima","1","","ALTO DA BELA VISTA","1","1"
"26189585","ESCOLA TECNICA ESTADUAL PASTOR ISAAC MARTINS RODRIGUES","Abreu e Lima","2","","CENTRO","1","0"
"26190834","ESCOLA PRIMEIROS PASSOS","Abreu e Lima","4","1","DESTERRO","1","0"
"26213400","ESCOLA COMPANHIA DAS LETRAS","Abreu e Lima","4","1","BOA ESPERANCA","1","0"
"26214202","INSTITUTO EDUCACIONAL ALAMO","Abreu e Lima","4","1","CAETES I","1","0"
"26216213","EDUCANDARIO LIRIO DOS VALES","Abreu e Lima","4","1","PLANALTO","1","0"
"26224607","ESCOLA ESPACO SABER","Abreu e Lima","4","1","CENTRO","1","0"
"26225638","EM - ESCOLA MUNICIPAL PROFESSOR JOSE FRANCISCO BARROS","Abreu e Lima","3","","CENTRO","1","0"
"26243601","INSTITUTO DAYSE MOURA","Abreu e Lima","4","1","CAETES III","1","0"
"26394626","ESCOLA NOVO MILENIO","Abreu e Lima","4","1","TIMBO","1","0"
"26400618","UNIDADE EDUCACIONAL COLEGIO CALACA -GENESIS","Abreu e Lima","4","1","CAETES I","1","0"
"26437732","ESCOLA FUTURO INFANTIL","Abreu e Lima","4","1","PLANALTO","1","0"
"26455749","COLEGIO ATUANTE","Abreu e Lima","4","","CAETES I","",""
"26521733","ESCOLA O PEQUENO CONSTRUTOR","Abreu e Lima","4","","TIMBO","",""
"26107210","SESI CAMARAGIBE","Camaragibe","4","1","VILA DA FABRICA","1","0"
"26107236","CENTRO EDUCUCACIONAL STOS COSME E DAMIAO","Camaragibe","4","","JARDIM PRIMAVERA","",""
"26107252","CENTRO EDUCACIONAL PROFESSORA JOVELINA","Camaragibe","4","1","JARDIM PRIMAVERA","1","0"
"26107295","COLEGIO E CURSO GRADIENTE","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26107309","COLEGIO SANTA RITA DE CASSIA","Camaragibe","4","","ALDEIA DOS CAMARAS","",""
"26107317","COLEGIO SAGRADO CORACAO DE JESUS","Camaragibe","4","","TIMBI","",""
"26107341","EDUCANDARIO BOM JESUS","Camaragibe","4","","BAIRRO DOS ESTADOS","",""
"26107368","EDUCANDARIO FERREIRA MELO","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26107384","EDUCANDARIO MENINO JESUS","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26107406","EDUCANDARIO CASTRO ALVES","Camaragibe","4","","JARDIM PRIMAVERA","",""
"26107414","EDUCANDARIO NOSSA SENHORA AUXILIADORA","Camaragibe","4","","TIMBI","",""
"26107449","EDUCANDARIO SANTA PAZ","Camaragibe","4","1","TIMBI","1","0"
"26107465","EDUCANDARIO CANAA","Camaragibe","4","","TIMBI","",""
"26107503","EDUCANDARIO SAO JUDAS TADEU","Camaragibe","4","1","CENTRO","1","0"
"26107546","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO ANTONIO CORREIA DE ARAUJO","Camaragibe","2","","BAIRRO DOS ESTADOS","1","0"
"26107562","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO CONSELHEIRO SAMUEL MAC DOWELL","Camaragibe","2","","JARDIM PRIMAVERA","1","0"
"26107570","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO DEPUTADO OSCAR CARNEIRO","Camaragibe","2","","VILA DA FABRICA","1","0"
"26107597","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO FRANCISCO DE PAULA CORREA DE ARAUJO","Camaragibe","2","","TIMBI","1","0"
"26107600","ESCOLA FREI CANECA","Camaragibe","2","","BAIRRO NOVO DO CARMELO","1","0"
"26107627","ESCOLA JOAQUIM AMAZONAS","Camaragibe","2","","NOVO CARMELO","1","1"
"26107635","ESCOLA MUNICIPAL JOSE COLLIER","Camaragibe","3","","VILA DA FABRICA","1","0"
"26107651","ESCOLA MARIA DA CONCEICAO DO REGO B LACERDA","Camaragibe","2","","RECIFE","1","0"
"26107678","ESCOLA MINISTRO JARBAS PASSARINHO","Camaragibe","2","","CENTRO","0","0"
"26107686","ESCOLA MUL PROFESSOR PAULO FREIRE","Camaragibe","3","","VALE DAS PEDREIRAS","1","0"
"26107708","ESC MUL ALDO FERREIRA CASTELO BRANCO","Camaragibe","3","","SANTA MONICA","1","0"
"26107724","ESCOLA MUNICIPAL CLARA LOPES","Camaragibe","3","","ALBERTO MAIA","1","0"
"26107732","ESCOLA MUNICIPAL ERSINA LAPENDA","Camaragibe","3","","ALDEIA DOS CAMARAS","1","0"
"26107759","ESCOLA MUL IMACULADA CONCEICAO","Camaragibe","3","","BAIRRO NOVO DO CARMELO","1","0"
"26107767","ESCOLA MUNICIPAL JARDIM PRIMAVERA","Camaragibe","3","","JARDIM PRIMAVERA","1","0"
"26107783","ESCOLA MUL NOVA SANTANA","Camaragibe","3","","SANTANA","1","0"
"26107791","ESCOLA MUNICIPAL PROFESSORA MARIA LUCIA GONCALVES GUERRA","Camaragibe","3","","CEU AZUL","1","0"
"26107821","ESCOLA MUL SANTO ANTONIO","Camaragibe","3","","ESTACAO NOVA","1","0"
"26107830","ESC MUN CARMELA ORRICO LAPENDA","Camaragibe","3","","BAIRRO DOS ESTADOS","1","0"
"26107848","ESCOLA MUNICIPAL MANOEL RITO","Camaragibe","3","","ALDEIA DE BAIXO","1","0"
"26107856","ESC MUL MARCELO JOSE A CORREIA DE ARAUJO","Camaragibe","3","","ALTO SANTO ANTONIO","1","0"
"26107864","ESC MUL NOSSA SENHORA DO CARMO","Camaragibe","3","","ALBERTO MAIA","1","0"
"26107872","ESCOLA MUNICIPAL SANTA MARIA","Camaragibe","3","","ALBERTO MAIA","1","1"
"26107880","ESCOLA MUNICIPAL RITA NEIVA DE OLIVEIRA","Camaragibe","3","","ALDEIA DOS CAMARAS","1","0"
"26107899","ESCOLA MUNICIPAL SAO JOSE","Camaragibe","3","","VERA CRUZ","1","1"
"26107902","ESCOLA MUNICIPAL XV DE NOVEMBRO","Camaragibe","3","","VILA DA FABRICA","1","0"
"26107910","ESCOLA NOSSA SENHORA DAS DORES","Camaragibe","2","","AREEIRO","",""
"26107937","ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR ANTONIO CARNEIRO LEAO","Camaragibe","2","","CENTRO","1","0"
"26107945","ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR CARLOS FREDERICO DO REGO MACIEL","Camaragibe","2","","TIMBI","0","0"
"26107961","ESCOLA PROFESSOR NELSON CHAVES","Camaragibe","2","","TABATINGA","1","0"
"26107970","ESCOLA PROFESSORA IARA","Camaragibe","4","","JARDIM PRIMAVERA","",""
"26107988","ESCOLA RECREIO INFANTIL SC LTDA","Camaragibe","4","","VILA DA INABI","",""
"26107996","ESCOLA VALE DAS PEDREIRAS","Camaragibe","2","","VALE DAS PEDREIRAS","1","0"
"26108003","ESCOLA SAO JOSE","Camaragibe","4","1","ESTACAO NOVA","1","0"
"26108020","ESCOLA SANTA MONICA","Camaragibe","2","","SANTA MONICA","",""
"26108038","ESCOLA DE REFERENCIA EM ENSINO MEDIO TITO PEREIRA DE OLIVEIRA","Camaragibe","2","","ARACA","1","0"
"26108046","ESCOLA MAJOR LELIO","Camaragibe","2","","ALDEIA","0","0"
"26108054","ESCOLA MUNICIPAL 19 DE ABRIL","Camaragibe","3","","OITENTA","1","0"
"26108062","ESCOLA MUNICIPAL ANTONIO LUIZ DE SOUZA","Camaragibe","3","","TABATINGA","1","0"
"26108070","ESCOLA PEQUENO MUNDO","Camaragibe","4","1","TABATINGA","1","1"
"26108119","ESCOLA MUNICIPAL PADRE MIGUEL","Camaragibe","3","","BORRALHO","1","0"
"26108232","ESC MUL MANUEL CHAVES DA COSTA","Camaragibe","3","","LOTEAMENTO NAZARE","1","0"
"26108240","ESCOLA TIMBI","Camaragibe","2","","TIMBI","1","0"
"26108267","ESCOLA MUL SAO VICENTE DE PAULO","Camaragibe","3","","AREEIRO","1","0"
"26108275","ESCOLA SANTA APOLONIA","Camaragibe","2","","TABATINGA","",""
"26108291","COLEGIO PADRE ANCHIETA","Camaragibe","4","1","TIMBI","1","1"
"26108305","INSTITUTO MONTE SINAI","Camaragibe","4","","TIMBI","",""
"26108313","INSTITUTO NOSSA SENHORA DO CARMO","Camaragibe","4","","ALBERTO MAIA","",""
"26108321","INSTITUTO SAO LUIZ","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26108372","INSTITUTO NOSSA SENHORA DO CARMO","Camaragibe","4","","ALBERTO MAIA","",""
"26108380","INSTITUTO MARIA DA CONCEICAO M DOS SANTOS","Camaragibe","4","","TIMBI","",""
"26133091","ESCOLA INSTITUTO SEMEAR","Camaragibe","4","","SANTANA","",""
"26133121","CENTRO EDUCACIONAL INTERAGIR","Camaragibe","4","1","SANTANA","1","0"
"26133229","EDUCANDARIO SILVIA NUNES","Camaragibe","4","","TIMBI","",""
"26138182","ESCOLA INTERNACIONAL DE ALDEIA","Camaragibe","4","1","ALDEIA","1","1"
"26138204","EDUCANDARIO SAO PEDRO E SAO PAULO","Camaragibe","4","","VALE DAS PEDREIRAS","",""
"26138212","LUIZ VALENCA","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26138220","EDUCANDARIO SANTA CLARA","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26138280","ESCOLA ABIGAIL BERNARDES","Camaragibe","4","1","ALDEIA DE BAIXO","1","0"
"26138310","ESCOLA GUIMARAES BISPO","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26141507","CENTRO EDUCACIONAL ESTRELA DE DAVI","Camaragibe","4","1","SANTA MONICA","1","0"
"26144050","ESCOLA MUNICIPAL JOAO PAULO II","Camaragibe","3","","JOAO PAULO II","1","0"
"26144069","CRECHE MUL MARIA ALICE GONCALVES GUERRA","Camaragibe","3","","SANTA MONICA","1","0"
"26145049","EDUCANDARIO RECANTO INFANTIL","Camaragibe","4","","VILA DA FABRICA","",""
"26145057","EDUCANDARIO EFETIVO","Camaragibe","4","","","",""
"26145065","EDUCANDARIO JERUSALEM","Camaragibe","4","1","TIMBI","1","0"
"26145073","ESCOLA CORDEIRO DE DEUS","Camaragibe","4","","VILA NOVA DA VARZEA","",""
"26147670","ESCOLA PALATINO","Camaragibe","4","","JARDIM PRIMAVERA","",""
"26147688","ESCOLA MUNDO UNIVERSAL","Camaragibe","4","1","VILA DA INABI","0","0"
"26147807","CENTRO COMUNITARIO VIVENDO E APRENDENDO","Camaragibe","4","","TIMBI","",""
"26153696","ESCOLA MUN SANTA TERESA","Camaragibe","3","","TIMBI","1","0"
"26153785","INSTITUTO SONHO MEU","Camaragibe","4","1","TIMBI","1","1"
"26157683","ESCOLA HERANCA CRISTA","Camaragibe","4","","ALBERTO MAIA","",""
"26162334","CENTRO EDUCACIONAL MARIA PORFIRIO","Camaragibe","4","","TIMBI","",""
"26163047","ESCOLA DESAFIO","Camaragibe","4","1","VILA DA INABI","1","0"
"26163411","CENTRO EDUC DO CAMARAGIBE - ANGLO LIDER","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26163454","EDUCANDARIO DIVINA PROVIDENCIA","Camaragibe","4","1","TIMBI","1","0"
"26163470","EDUCANDARIO II MILLENIUM","Camaragibe","4","","AREEIRO","",""
"26163659","ESCOLA INFANTIL PRIMEIROS DEGRAUS","Camaragibe","4","","ALDEIA DE BAIXO","",""
"26164566","EDUCANDARIO LUZ DO SABER DE CAMARAGIBE LTDA","Camaragibe","4","","ALBERTO MAIA","",""
"26165112","ESCOLA SANTA SOFIA","Camaragibe","2","","CAMARAGIBE CENTRO","1","0"
"26165260","CRISTO E VIDA","Camaragibe","4","1","BAIRRO DOS ESTADOS","1","0"
"26167450","EDUCANDARIO EMANUEL","Camaragibe","4","","TIMBI","",""
"26167476","EDUCANDARIO MARIA ANTONIETA","Camaragibe","4","","TABATINGA","",""
"26171236","ESCOLA PROFESSORA ALICE DE BARROS MAURICIO","Camaragibe","2","","TIMBI","",""
"26174570","ESCOLA ESTADUAL PIO XII","Camaragibe","2","","TIMBI","1","0"
"26174588","COLEGIO E CURSO OPCAO","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26174634","EDUCANDARIO CORACAO DE MARIA","Camaragibe","4","","CELEIRO DAS ALEGRIAS FUTURAS","",""
"26174642","EDUCANDARIO ANA CECILIA","Camaragibe","4","","TIMBI","",""
"26174650","CENTRO EDUCACIONAL JOAO FREIRE LTDA","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26174669","ESCOLA DO CHAVES","Camaragibe","4","","VILA DA FABRICA","",""
"26174677","EDUCANDARIO GERALDA SANTA CRUZ","Camaragibe","4","1","TIMBI","1","0"
"26174693","ESCOLA LUZ DO SABER","Camaragibe","4","1","ALBERTO MAIA","1","0"
"26176246","ESCOLA TECNICA ESTADUAL ALCIDES DO NASCIMENTO LINS","Camaragibe","2","","PE 27","0","0"
"26177455","ESCOLA REGISTRANDO DESCOBERTAS","Camaragibe","4","","JOAO PAULO II","",""
"26177463","CENTRO PROFISSIONALIZANTE DE ENFERMAGEM","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26177471","COLEGIO DIMENSAO LTDA-ME","Camaragibe","4","1","TIMBI","1","0"
"26178885","ASSOS ADEC - CEFOC","Camaragibe","4","","BAIRRO NOVO","",""
"26179350","INSTITUTO SAO LUIZ","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26180065","ESCOLA CONSTRUINDO SABER","Camaragibe","4","1","JARDIM PRIMAVERA","1","0"
"26180715","COLEGIO IDEIA","Camaragibe","4","1","VERA CRUZ","1","0"
"26181169","CENTRO EDUCACIONAL TIA LINDALVA","Camaragibe","4","1","VERA CRUZ","1","0"
"26181452","INSTITUTO MONTEIRO LOBATO","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26182076","ECCOPRIME ESCOLA DE ENSINO INFANTIL E FUNDAMENTAL","Camaragibe","4","1","ALDEIA DOS CAMARAS","1","1"
"26182726","CENTRO INTEGRADO DE ENSINO GETSEMANI","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26182947","SUCESSO CURSOS TECNICOS","Camaragibe","4","1","BAIRRO NOVO DO CARMELO","1","0"
"26184826","CME INFANTIL JUDITH MARIA BRASIL DA ROCHA","Camaragibe","3","","TABATINGA","1","0"
"26189267","CMEI LUIZ ANTONIO DE PONTES RAMOS","Camaragibe","3","","TIMBI","1","0"
"26189550","EDUCANDARIO CAMARA","Camaragibe","4","","VILA DA FABRICA","",""
"26191750","ESCOLA GENESIS","Camaragibe","4","1","ALDEIA DOS CAMARAS","1","1"
"26205807","ESCOLA RECANTO DO SABER","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26206803","INSTITUTO SANTA LUZIA","Camaragibe","4","1","TIMBI","1","0"
"26234610","EDUCANDARIO PAULO FREIRE","Camaragibe","4","1","TIMBI","1","1"
"26260603","CENTRO EDUCACIONAL NOSSA SENHORA DE SANTANA","Camaragibe","4","","JOAO PAULO II","",""
"26301628","EDUCANDARIO AFETO LTDA","Camaragibe","4","1","NAZARE","1","0"
"26303620","CENTRO EDUCACIONAL BASE","Camaragibe","4","1","VERA CRUZ","1","0"
"26413817","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO TORQUATO DE CASTRO","Camaragibe","2","","ALDEIA DOS CAMARAS","0","0"
"26443740","INSTITUTO PAULO DE TARSO","Camaragibe","4","1","TABATINGA","1","0"
"26471710","INSTITUTO BATISTA DE CAMARAGIBE","Camaragibe","4","","BAIRRO NOVO DO CARMELO","",""
"26510715","COLEGIO E CURSO NOVO MILENIO","Camaragibe","4","1","ALBERTO MAIA","1","0"
"26522713","CENTRO EDUCACIONAL ARLEQUIM","Camaragibe","4","1","BAIRRO DOS ESTADOS","1","1"
"26525968","COLEGIO NOVO MUNDO","Camaragibe","4","","BAIRRO DOS ESTADOS","",""
"26529823","COLEGIO LAPIS NA MAO","Camaragibe","4","","JARDIM PRIMAVERA","",""
"26108437","CENTRO EDUCACIONAL MARIA DE SOUZA LEAO","Jaboatão dos Guararapes","4","","CANDEIAS","",""
"26108461","ESCOLA MUNICIPAL JOAO BOSCO DE SENA","Jaboatão dos Guararapes","3","","SANTO ALEIXO","1","0"
"26108470","CENTRO DE ENSINO ESPECIALIZADO DE PRAZERES","Jaboatão dos Guararapes","4","","CAJUEIRO SECO","",""
"26108496","ESCOLA MUNICIPAL DOM BOSCO","Jaboatão dos Guararapes","3","","CENTRO","1","0"
"26108500","CENTRO EDUCACIONAL SHALOM","Jaboatão dos Guararapes","4","1","BARRA DE JANGADA","1","0"
"26108518","CENTRO EDUCACIONAL TEREZA DE JESUS","Jaboatão dos Guararapes","4","","MARCOS FREIRE","",""
"26108526","CENTRO ESCOLAR SAO JOSE","Jaboatão dos Guararapes","4","1","CURADO IV","1","0"
"26108550","ESCOLA MUNICIPAL POETA MANUEL BANDEIRA","Jaboatão dos Guararapes","3","","SOCORRO","1","0"
"26108569","COLEGIO CENECISTA PE CHROMACIO LEAO","Jaboatão dos Guararapes","4","","CENTRO","",""
"26108577","COLEGIO MUNICIPAL VISCONDE DE SUASSUNA","Jaboatão dos Guararapes","3","","PIEDADE","1","0"
"26108585","COLEGIO DIVINO MESTRE","Jaboatão dos Guararapes","4","1","PIEDADE","1","1"
"26108593","COLEGIO MUNICIPAL HUMBERTO BARRADAS","Jaboatão dos Guararapes","3","","ENGENHO VELHO","1","0"
"26108607","COLEGIO NOSSA SENHORA DA CANDELARIA","Jaboatão dos Guararapes","4","","CANDEIAS","",""
"26108623","EDUCANDARIO ANANIAS BARRETO","Jaboatão dos Guararapes","4","","PRAZERES","",""
"26108631","COLEGIO DOM HELDER CAMARA","Jaboatão dos Guararapes","4","1","CANDEIAS","1","0"
"26108682","EDUCANDARIO MONTESSORI","Jaboatão dos Guararapes","4","1","SUCUPIRA","0","0"
"26108712","ESCOLA ASSEMBLEIA DE DEUS","Jaboatão dos Guararapes","4","","CAVALEIRO","",""
"26108739","ESCOLA MUNICIPAL ANTONIO VIEIRA DE MELO","Jaboatão dos Guararapes","3","","ZUMBI DO PACHECO","1","0"
"26108763","ESCOLA MUNICIPAL NOSSA SENHORA DO CARMO","Jaboatão dos Guararapes","3","","CAJUEIRO SECO","1","0"
"26108771","NUCLEO COMUNITARIO COSME E DAMIAO","Jaboatão dos Guararapes","4","","CAVALEIRO","",""
